v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,salary
29,72,53,23.3,5.4,9.4,0,0.2,5.4,9.2,0.572,1.5,3.4,3.6,7.8,0.8,0.6,1.9,1.3,2.7,12.3,23.5,0.564,0.024,0.357,16.3,35.6,25.9,5.6,1.3,7.3,11,22.6,2.3,4,6.3,0.18,1.1,1.2,2.3,1.8,17.11478658
28,67,67,35.9,8.2,17.3,1.8,5.4,6.4,11.9,0.523,3.1,4,1.1,3.9,7.7,1.6,0.8,3.1,2.2,21.2,19.4,0.555,0.313,0.234,3.3,11,7.2,31.8,2.1,1.8,14.1,25.4,3.5,1.9,5.4,0.108,3.1,-0.1,3,3.1,17.08245671
33,81,81,33.2,8.4,16.3,0.1,0.5,8.3,15.8,0.522,4.3,5.1,3.1,6.1,2.4,0.5,1.3,1.8,2.2,21.3,22.9,0.576,0.032,0.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,6.4,2.9,9.3,0.167,2.4,-0.6,1.8,2.6,17.0736071
24,72,72,32.8,10,17.3,0.7,2.8,9.3,14.5,0.599,6.9,9.5,2.2,10.3,5.9,1.3,1.5,3.7,3.2,27.7,30.9,0.644,0.163,0.55,7.3,30,19.3,30.3,1.8,3.9,14.8,32.3,8.9,5.5,14.4,0.292,6.3,4.1,10.4,7.4,17.0675386
25,80,80,33.4,6,10.1,0,0,6,10.1,0.595,1.8,3.7,4.9,4.6,1.6,1.5,1,1.7,2.6,13.9,18.5,0.591,0.002,0.361,14.7,14.8,14.7,6.6,2,2.4,12.6,16.4,5.1,4,9.1,0.163,0.7,0.4,1.1,2.1,17.0675386
34,79,72,30.8,4.9,11,1.3,3.5,3.7,7.6,0.505,2.4,3.2,1,6.9,4.4,1.1,1.1,2,2.7,13.6,16.7,0.546,0.314,0.291,3.6,25.1,14.3,22.2,1.7,3.2,13.6,20.7,2,4,6,0.118,0.8,2.3,3.1,3.1,17.05793493
30,75,72,31.4,3.4,7.5,1.5,4,1.8,3.5,0.553,1,1.2,0.9,4.3,3.3,0.9,0.6,1.6,1.9,9.3,11.9,0.581,0.53,0.158,3.2,14.9,8.9,14.5,1.5,1.6,16.3,13.2,2,1.7,3.7,0.076,-0.7,0.4,-0.3,1,17.05674327
30,25,3,19.8,2.7,7.3,1.2,3.8,1.6,3.5,0.453,0.9,1,0.2,2.6,1.7,0.8,0.2,1.3,1.8,7.5,8.5,0.484,0.516,0.137,0.9,15.2,7.9,13.4,1.9,1,14.2,20.3,-0.6,0.6,0,-0.004,-3.9,-0.5,-4.4,-0.3,17.03847844
26,77,77,32.9,5.6,13.3,2.3,5.7,3.3,7.6,0.504,3,3.6,0.7,3.9,1.5,0.6,0.2,1.3,1.6,16.4,12.8,0.55,0.429,0.271,2.4,12.7,7.5,6.7,0.9,0.4,7.9,20.9,2,1.6,3.6,0.068,-0.2,-1.2,-1.4,0.4,16.99970081
29,74,51,27.2,6.3,11.9,0.7,2.3,5.6,9.6,0.557,1.8,2.4,2.1,6,1.3,0.4,1.4,1.5,2.9,15,18.7,0.582,0.193,0.202,8.6,23.2,16.1,7.7,0.7,4.3,10.7,22.9,2.8,3.3,6.1,0.146,0.2,0.1,0.2,1.2,16.96274446
26,81,80,31.8,5.9,8.8,0,0,5.9,8.8,0.669,4.1,6.4,3.8,9,2,0.8,2.3,1.6,2.9,15.9,24.6,0.682,0,0.733,13.2,30.2,21.9,9.6,1.2,5.8,12.1,17.8,8.7,5.7,14.4,0.268,3,2.5,5.4,4.8,16.96145317
30,68,68,30.3,6,13,2.4,5.5,3.6,7.5,0.554,5.4,6,0.8,5.3,2.6,0.7,0.3,1.5,1.9,19.8,21,0.633,0.421,0.459,2.9,18.1,10.7,13.2,1.1,0.9,8.5,23.8,6.4,1.8,8.2,0.191,4.9,-0.5,4.3,3.3,16.93414868
26,36,36,31.9,6.9,16.3,2.1,6,4.9,10.3,0.486,2.9,3.9,0.6,5,5.2,1.7,0.3,2.3,2,18.8,17.6,0.519,0.367,0.24,2.1,17.1,9.8,25.2,2.6,0.9,11.2,27.9,0.4,1.9,2.3,0.097,1.8,1.2,2.9,1.4,16.860033
